gfs_id,institution,department,collection,size,gfs_size,electronic_metadata,published_digital_records,size_comments,metadata_scope_comments,catalog_url,catalog_comments,type_of_things,places,names,dates,subjects,academic_department,division,top_category,source_id,collection_digitized,how_many_digitized_versions,collection_digitized_comments,priority
bod-medieval-manuscripts,BOD,Special Collections,Medieval Manuscripts,"10,000",,Some,[GFS to do count],,Catalogue only available from Oxford IP,http://medieval.bodleian.ox.ac.uk/,"http://www.bodley.ox.ac.uk/dept/scwmss/wmss/online/medieval/

Most of the EAD from the link at left is now available in TEI but not all. The EAD we have for Archives, does NOT include Medieval",manuscripts,,"Cicero, Augustine, Aristotle",1st century BC - 1700,"manuscripts, bindings, history, literature, poetry, law","English Language and Literature; Medieval and Modern Languages; Theology and Religion; Linguistics, Philology & Phonetics; Music; Classics; History of Art",Humanities,text,bod-medieval-tei,%,?,What is digitised is going to be in digital.bodleian,1
bod-maps,BOD,Special Collections,Maps,"1,250,000",,Some,140534,updated by TA based on es count,"approx 65% of the maps are described in SOLO, although usually the 'series' is described, which may represents thousands of maps. In the MARC, these can be found via the 008 or 035 field. ",http://solo.bodleian.ox.ac.uk/primo_library/libweb/action/search.do?vid=maps,"http://canvas1.bodleian.ox.ac.uk/mmap/map-index.php

Information on the other 35% of the map collection can be found in the scans of the card catalogue at left. 

The 65% of the map collection that is on SOLO will be in MARC, although the records may describe a series of map, rather than individual maps. ",maps; cartographic materials; atlases,,,[GFS to derive dates from item-level metadata in SOLO],"Maps, cartography, geography",Geography and the Environment; History; Politics and International Relations,"Social Sciences, Humanities","text, images, cartographic materials",bod-solo,7%,?,,
bod-music,BOD,Music Faculty Library,Music: Printed Musical Scores,"18,000",,All,18000,,,solo.bodleian.ox.ac.uk,http://www.bodleian.ox.ac.uk/music,printed music; musical scores,,,[GFS to derive dates from item-level metadata in SOLO],Music,Music; English Language and Literature,Humanities,"text, images, sound & moving image",bod-music,%,?,,
bod-music-special,BOD,Special Collections,Music: Manuscripts,"3,500",,Some,unknown,,,,"Pre-1915 aquisitions are in the Summary Catalogue http://solo.bodleian.ox.ac.uk/OXVU1:LSCOP_OX:oxfaleph010116452 . Post 1915 acquisitions are in the green binders at MUS.AC.3, on open access in the Sir Charles Mackerras Reading Room. http://www.bodleian.ox.ac.uk/weston/finding-resources/guides/music",manuscripts; musical scores,,,,Music,Music; English Language and Literature,Humanities,"text, images, sound & moving image",bod-music-special,,?,,
bod-archives-and-modern-papers,BOD,Special Collections,Archives and Modern Papers,"3,996,000",,Some,,12000 linear metres,Read me,http://www.bodley.ox.ac.uk/dept/scwmss/wmss/online/online.htm,Summary and Quarto Catalogues,archives; correspondence; personal papers,,,1800-2016,,Politics and International Relations; History; Philosophy; English Language and Literature,"Social Sciences, Humanities","text, images",bod-archives,%,?,250 electronic finding aids (in EAD),1
bod-archives-and-modern-papers-political-papers,BOD,Special Collections,Archives and Modern Papers: Political Papers,"899,100",,None,,2700 linear metres,Read me,,http://libguides.bodleian.ox.ac.uk/modern-sc,archives; correspondence; personal papers,,,1800-2016,"Civil service, diplomatic, journalism, politics, political history, United Nations",Politics and International Relations; History,"Social Sciences, Humanities","text, images",bod-archives,N,0,,1
bod-archives-and-modern-papers-african-commonwealth,BOD,Special Collections,Archives and Modern Papers: African & Commonwealth,"699,300",,None,,2100 linear metres,Read me,,http://libguides.bodleian.ox.ac.uk/modern-sc,archives; correspondence; personal papers,,,1800-2016,"Africa, Politics",Politics and International Relations; History,"Social Sciences, Humanities","text, images",bod-archives,N,0,,1
bod-archives-and-modern-papers-literature-and-the-arts,BOD,Special Collections,Archives and Modern Papers: Literature and the Arts,"382,950",,None,,1150 linear metres,Read me,,http://libguides.bodleian.ox.ac.uk/modern-sc,archives; correspondence; personal papers,,,1800-2016,"Arts, bibliography, film, literary, printing",English Language and Literature; Art; History of Art,Humanities,"text, images",bod-archives,N,0,,1
bod-archives-and-modern-papers-science-and-medicine,BOD,Special Collections,Archives and Modern Papers: Science and Medicine,"246,420",,None,,740 linear metres,Read me,,http://libguides.bodleian.ox.ac.uk/modern-sc,archives; correspondence; personal papers,,,1800-2016,"Biochemistry, computer science, genetics, neurology, physics","Chemistry; Computer Science; Physics; Biochemistry; Physiology, Anatomy & Genetics; Clinical Neurosciences","Medical Sciences, MPLS","text, images",bod-archives,N,0,,1
bod-archives-and-modern-papers-historical,BOD,Special Collections,Archives and Modern Papers: Historical,"99,900",,None,,300 linear metres,Read me,,http://libguides.bodleian.ox.ac.uk/modern-sc,archives; correspondence; personal papers,,,1800-2016,"Antiquarian, archaeology, historians, heraldry, historical organisations, palaeography",History; Archaeology; Art; Classics,Humanities,"text, images",bod-archives,N,0,,1
bod-archives-and-modern-papers-religion,BOD,Special Collections,Archives and Modern Papers: Religion,"39,960",,None,,140 linear metres,Read me,,http://libguides.bodleian.ox.ac.uk/modern-sc,archives; correspondence; personal papers,,,1800-2016,"religion, theology",Theology and Religion,Humanities,"text, images",bod-archives,N,0,,1
bod-archives-and-modern-papers-university,BOD,Special Collections,Archives and Modern Papers: University,"43,290",,None,,130 linear metres,Read me,,http://libguides.bodleian.ox.ac.uk/modern-sc,archives; correspondence; personal papers,,,1800-2016,"University organisations, O.U. Societies, historic Bodleian Library records.",History,Humanities,"text, images",bod-archives,N,0,,1
bod-archives-and-modern-papers-assorted-others,BOD,Special Collections,Archives and Modern Papers: Assorted others,"246,420",,None,,740 linear metres,Read me,,http://libguides.bodleian.ox.ac.uk/modern-sc,archives; correspondence; personal papers,,,1800-2016,"Architecture, classics, estate, family, geography, legal, medieval, music, philosophy, Slavonic studies",Art; Classics; Medieval and Modern Languages; Philosophy; Law; Music; Interdisciplinary Area Studies,"Social Sciences, Humanities","text, images",bod-archives,N,0,,1
mhs-barnett-collections,MHS,Objects,Barnett Collections ,57,19761 - across all collections,All,57,,,,,calendars; orreries; almanacs; timepieces,,,[GFS to derive dates from item-level metadata],"history of science, timepieces",History; Physics,"MPLS, Humanities",objects,mhs-all,,?,,1
mhs-beeson-collection,MHS,Objects,Beeson Collection ,85,,All,85,,,,,clocks; timepieces,,,[GFS to derive dates from item-level metadata],"history of science, timepieces",History; Physics,"MPLS, Humanities",objects,mhs-all,,?,,1
mhs-bertie-photographs,MHS,Objects,Bertie Photographs ,94,,All,94,,,,,stereoscopic photographs,,,[GFS to derive dates from item-level metadata],"history of science, photography",History; Physics,"MPLS, Humanities","objects, images",mhs-all,,?,,1
mhs-billmeir-collection,MHS,Objects,Billmeir Collection ,177,,All,177,,,,,astrolabes; dials,,,[GFS to derive dates from item-level metadata],history of science,History; Physics,"MPLS, Humanities",objects,mhs-all,,?,,1
mhs-blundell-manuscripts,MHS,Objects,Blundell Manuscripts ,4,,All,4,,,,,scrapbooks,,,[GFS to derive dates from item-level metadata],history of science,History; Physics,"MPLS, Humanities",text,mhs-all,,?,,1
mhs-bristow-collection,MHS,Objects,Bristow Collection ,28,,All,28,,,,,mathematical apparatus,,,[GFS to derive dates from item-level metadata],"history of science, maths",History; Physics; Mathematical Institute,"MPLS, Humanities",objects,mhs-all,,?,,1
mhs-carpenter-photographs,MHS,Objects,Carpenter Photographs ,29,,All,29,,,,,stereoscopic photographs,,,[GFS to derive dates from item-level metadata],"photography, history of science",History; Physics,"MPLS, Humanities","objects, images",mhs-all,,?,,1
mhs-clay-collection,MHS,Objects,Clay Collection ,853,,All,853,,,,,microscopes,,,[GFS to derive dates from item-level metadata],"biology, history of science",History; Medicine,"Medical Sciences, Humanities",objects,mhs-all,,?,,1
mhs-clay-collection-additions,MHS,Objects,Clay Collection additions ,8,,All,8,,,,,microscopes,,,[GFS to derive dates from item-level metadata],"biology, history of science",History; Medicine,"Medical Sciences, Humanities",objects,mhs-all,,?,,1
mhs-daubeny-collection,MHS,Objects,Daubeny Collection ,5,,All,5,,,,,stereoscopic photographs,,,[GFS to derive dates from item-level metadata],"photography, history of science",History,"Humanities, ","objects, images",mhs-all,,?,,1
mhs-dyer,MHS,Objects,Dyer ,1,,All,1,,,,,cabinets; fossils; seeds,,,[GFS to derive dates from item-level metadata],"palaeontology, plant sciences, history of science",History; Earth Sciences; Zoology,"MPLS, Humanities","objects, specimens",mhs-all,,?,,1
mhs-elliott-archive,MHS,Objects,Elliott Archive ,84,,All,84,,,,,photograph album,,,[GFS to derive dates from item-level metadata],photography,History,"Humanities, ",images,mhs-all,,?,,1
mhs-elliot-collection,MHS,Objects,Elliot Collection ,244,,All,244,,,,,speedometers; telegraph equipment,,,[GFS to derive dates from item-level metadata],history of science,History,"Humanities, ",objects,mhs-all,,?,,1
mhs-em-nelson-collection,MHS,Objects,EM Nelson Collection ,1,,All,1,,,,,microscopes,,,[GFS to derive dates from item-level metadata],history of science,History; Medicine,"Humanities, ",objects,mhs-all,,?,,1
mhs-ferguson-manuscripts,MHS,Objects,Ferguson Manuscripts,4,,All,4,,,,,photographs,,,[GFS to derive dates from item-level metadata],history of science,History,"Humanities, ",objects,mhs-all,,?,,1
mhs-florey-collections,MHS,Objects,Florey Collections ,71,,All,71,size and published_digital_records updated by TA based on es count,,,,apparatus,,,[GFS to derive dates from item-level metadata],history of science,History; Medicine,"Medical Sciences, Humanities","objects, images",mhs-all,,?,,1
mhs-gabb-collection,MHS,Objects,Gabb Collection,123,,All,123,,,,,photographs,,,[GFS to derive dates from item-level metadata],"photography, history of science",History,"Humanities, ",objects,mhs-all,,?,,1
mhs-gabb-collection-additions,MHS,Objects,Gabb Collection Additions,53,,All,53,,,,,photographs,,,[GFS to derive dates from item-level metadata],"photography, history of science",History,"Humanities, ","objects, images",mhs-all,,?,,
mhs-galton-collection,MHS,Objects,Galton Collection ,30,,All,30,,,,,instruments; apparatus,,,[GFS to derive dates from item-level metadata],history of science,History,"Humanities, ",objects,mhs-all,,?,,1
mhs-gunther-archive,MHS,Objects,Gunther Archive ,19,,All,19,,,,,photographs,,,[GFS to derive dates from item-level metadata],"photography, history of science",History,"Humanities, ","objects, images",mhs-all,,?,,1
mhs-gunther-collection,MHS,Objects,Hermann Gunther Collection,168,,All,168,size and published_digital_records updated by TA based on es count,,,,netsuke,,,[GFS to derive dates from item-level metadata],"history of science, medicine",History; Medicine,"Medical Sciences, Humanities",objects,mhs-all,,?,,1
mhs-gurney-photographs,MHS,Objects,Gurney Photographs ,36,,All,36,,,,,catalogues; notes; notebooks; photographs,,,[GFS to derive dates from item-level metadata],"photography, history of science",History,"Humanities, ","objects, images",mhs-all,,?,,1
mhs-haldane-collection,MHS,Objects,Haldane Collection ,41,,All,41,,,,,apparatus,,,[GFS to derive dates from item-level metadata],"history of science, laboratories",History,"Humanities, ",objects,mhs-all,,?,,1
mhs-herschel-photographic-experiments,MHS,Objects,Herschel’s Photographic Experiments ,697,,All,697,,,,,photographs,,,[GFS to derive dates from item-level metadata],"photography, history of science",History,"Humanities, ","objects, images",mhs-all,,?,,1
mhs-hyde-parker-collection,MHS,Objects,Hyde Parker Collection ,8,,All,8,,,,,photographs; correspondence,,,[GFS to derive dates from item-level metadata],"photography, history of science",History,"Humanities, ","objects, images",mhs-all,,?,,1
mhs-john-thompson-collection,MHS,Objects,John Thompson Collection ,18,,All,18,,,,,mathematical apparatus,,,[GFS to derive dates from item-level metadata],history of science,History,"Humanities, ",objects,mhs-all,,?,,1
mhs-keeley-collection,MHS,Objects,Keeley Collection ,1,,All,1,,,,,autochrome filter,,,[GFS to derive dates from item-level metadata],"photography, history of science",History,"Humanities, ","objects, images",mhs-all,,?,,1
mhs-lewis-evans-collection,MHS,Objects,Lewis Evans Collection ,600,,All,600,,,,,calendars; orreries; almanacs; time,,,[GFS to derive dates from item-level metadata],history of science,History,"Humanities, ",objects,mhs-all,,?,,1
mhs-marconi-collection,MHS,Objects,Marconi Collection ,648,,All,648,,,,,sound recordings; radios,,,[GFS to derive dates from item-level metadata],history of science,History; Physics,"MPLS, Humanities",objects,mhs-all,,?,,1
mhs-mason-collection,MHS,Objects,Mason Collection ,1,,All,1,,,,,photographs,,,[GFS to derive dates from item-level metadata],history of science,History,"Humanities, ",objects,mhs-all,,?,,1
mhs-millburn-collection,MHS,Objects,Millburn Collection ,4,,All,4,,,,,orreries,,,[GFS to derive dates from item-level metadata],history of science,History,"Humanities, ",objects,mhs-all,,?,,1
mhs-minn-collection,MHS,Objects,Minn Collection ,51,,All,51,,,,,cameras; photographs,,,[GFS to derive dates from item-level metadata],"photography, history of science",History; Physics,"MPLS, Humanities","objects, images",mhs-all,,?,,1
mhs-museum-archive,MHS,Objects,Museum Archive ,3,,All,3,,,,,scrapbooks; blueprints,,,[GFS to derive dates from item-level metadata],history of science,History,"Humanities, ","text, images",mhs-all,,?,,1
mhs-north-manuscripts,MHS,Objects,North Manuscripts ,9,,All,9,,,,,photographs,,,[GFS to derive dates from item-level metadata],"photography, history of science",History,"Humanities, ","objects, images",mhs-all,,?,,1
mhs-oglander-collection,MHS,Objects,Oglander Collection ,1,,All,1,,,http://www.mhs.ox.ac.uk/collections/imu-search-page/record-details/?TitInventoryNo=25401&querytype=field&thumbnails=on&irn=9426,,cabinets; fossils; seeds,,,[GFS to derive dates from item-level metadata],"history of science, medicine",History; Medicine,"Medical Sciences, Humanities",objects,mhs-all,,?,,1
mhs-oriel-college-collection,MHS,Objects,Oriel College Collection ,3,,All,3,,,,,herbaria; terrestrial globes,,,[GFS to derive dates from item-level metadata],"history of science, plant sciences",Plant Sciences; History; Geography and the Environment,"Humanities, ","objects, specimens",mhs-all,,?,,1
mhs-orrery-collection,MHS,Objects,Orrery Collection ,69,,All,69,,,,,mathematical apparatus; telescopes; armillary sphere,,,[GFS to derive dates from item-level metadata],"history of science, astronomy",History; Mathematical Institute; Physics,"Humanities, ",objects,mhs-all,,?,,1
mhs-pointer-collection,MHS,Objects,Pointer Collection ,2,,All,2,,,,,almanacs;,,,[GFS to derive dates from item-level metadata],"history of science, natural history",History,"Humanities, ",objects,mhs-all,,?,,1
mhs-portraits-collection,MHS,Objects,Portraits Collection ,219,,All,219,,,,,portraits; etchings,,,[GFS to derive dates from item-level metadata],history of science,History; Art,"Humanities, ",objects,mhs-all,,?,,1
mhs-rms-mhs-collection,MHS,Objects,RMS-MHS Collection,550,,All,550,size and published_digital_records updated by TA based on es count,,,,microscopes,,,[GFS to derive dates from item-level metadata],history of science,History; Medicine,"Medical Sciences, Humanities",objects,mhs-all,,?,,1
mhs-radcliffe-observatory-collection,MHS,Objects,Radcliffe Observatory Archive ,74,,All,74,size and published_digital_records updated by TA based on es count,,,,photographs; blueprints; prints,,,[GFS to derive dates from item-level metadata],"history of science, astronomy, photography",History; Physics,"Humanities, ",objects,mhs-all,,?,,1
mhs-riza-photographs,MHS,Objects,Riza Photographs ,11,,All,11,,,,,photographs,,,[GFS to derive dates from item-level metadata],"photography, history of science",History,"Humanities, ","objects, images",mhs-all,,?,,1
mhs-robert-gunther-loan-collection,MHS,Objects,Robert Gunther Loan Collection ,2,,All,2,,,,,paintings; drawings,,,[GFS to derive dates from item-level metadata],"history of science, navigation, astronomy",History,"Humanities, ",objects,mhs-all,,?,,1
mhs-shortt-photographs,MHS,Objects,Shortt Photographs ,24,,All,24,,,,,photographs,,,[GFS to derive dates from item-level metadata],"photography, history of science, photography, history of science",History,"Humanities, ","objects, images",mhs-all,,?,,1
mhs-sidgwick-photographs,MHS,Objects,Sidgwick Photographs ,24,,All,24,,,,,photographs,,,[GFS to derive dates from item-level metadata],"photography, history of science",History,"Humanities, ","objects, images",mhs-all,,?,,1
mhs-thomson-photographs,MHS,Objects,Thomson Photographs ,19,,All,19,,,,,photographs,,,[GFS to derive dates from item-level metadata],"photography, history of science",History,"Humanities, ","objects, images",mhs-all,,?,,1
mhs-underhill-collection,MHS,Objects,Underhill Collections ,4,,All,4,,,,,photographs; sketchbooks,,,[GFS to derive dates from item-level metadata],"photography, history of science",History,"Humanities, ","objects, images",mhs-all,,?,,1
mhs-mhs-other,MHS,Objects,[Other-no named collection],"14,505",,All,14505,,,,,[GFS to pull from data],,,[GFS to derive dates from item-level metadata],history of science,History; Medicine; Physics; Plant Sciences; Anthropology & Museum Ethnography,"Humanities, MPLS, Medical Sciences, Social Sciences","objects, images",mhs-all,,?,"There are 8277 images for the whole MHS collection, but I don't know how they line up with these collections",1
mhs-manuscripts-and-archives,MHS,Library and Archives,Manuscripts and Archives,36,,Some,36,,"There is a list (URL at right) but I am not sure if this is useful. It was originally a Word Doc, so no database exists. ",http://www.mhs.ox.ac.uk/collections/library/manuscripts/,All: we have all the metadata.,manuscripts; archives,,,[GFS to derive dates from item-level metadata],history of science,History; Medicine; Physics; Plant Sciences; Anthropology & Museum Ethnography,"Humanities, MPLS, Medical Sciences, Social Sciences","text, images",,N,0,,
mhs-books,MHS,Library and Archives,Books,"20,771",,All,20771,,,http://www.mhs.ox.ac.uk/collections/library/catalogue/,"These are also in SOLO

No separate metadata",books,,,1476-2016,Science,History; Medicine; Physics; Plant Sciences; Anthropology & Museum Ethnography,"Humanities, MPLS, Medical Sciences, Social Sciences",text,bod-solo,N,0,,
mnh-entomology,MNH,Life Collections,Entomology-Other,"4,500,000",5025 (across all items),Some,11216,"20,000 are in the old system, and 5,000 in the new",Collection Read Me,http://www.oum.ox.ac.uk/collect/lifecoll2.htm,,?,,,unspecified,entomology,Zoology,MPLS,specimens,mnh-entomology,,?,,1
mnh-entomology-bigot-macquart,MNH,Life Collections,Entomology-Bigot-Macquart Diptera,"300,000",,Some,2579,,,http://www.oum.ox.ac.uk/database/entom/bigot.htm,,specimens; diptera,,,19th century,entomology,Zoology,MPLS,specimens,,N,,,
mnh-entomology-verrall-collin,MNH,Life Collections,Entomology-The Verrall-Collin Diptera Collection,?,,Some,925,,,http://www.oum.ox.ac.uk/database/entom/verrcoll.htm,,specimens; diptera,,,1860s-1960s,entomology,Zoology,MPLS,specimens,,N,,,
mnh-entomology-palaearctic,MNH,Life Collections,Entomology- Palaearctic Diptera,?,,Some,5626,,,http://www.oum.ox.ac.uk/database/entom/hopepal.htm,,specimens; diptera,,,unspecified,entomology,Zoology,MPLS,specimens,,N,,,
mnh-entomology-pickard-cambridge,MNH,Life Collections,Entomology- Pickard-Cambridge Arachnid collection,?,,Some,4536,,,http://www.oum.ox.ac.uk/database/entom/moreinfo/spiders.htm,,specimens; arachnids,,Octavius Pickard-Cambridge,19th century,entomology,Zoology,MPLS,specimens,,N,,,
mnh-entomology-embioptera,MNH,Life Collections,Entomology- Embioptera,?,,Some,6,,,http://www.oum.ox.ac.uk/database/entom/embiopt.htm,,specimens; embioptera,,,unspecified,entomology,Zoology,MPLS,specimens,,N,,,
mnh-entomology-odonata,MNH,Life Collections,Entomology- Odonata,?,,Some,55,100+ drawers,,http://www.oum.ox.ac.uk/database/entom/odonata.htm,,specimens; odonata; dragonflies; damselflies,,,unspecified,entomology,Zoology,MPLS,specimens,,N,,,
mnh-entomology-plecoptera,MNH,Life Collections,Entomology- Plecoptera,?,,Some,18,,,http://www.oum.ox.ac.uk/database/entom/plecopt.htm,,specimens; stoneflies; plecoptera,,,unspecified,entomology,Zoology,MPLS,specimens,,N,,,
mnh-entomology-strepsiptera,MNH,Life Collections,Entomology- Strepsiptera,?,,Some,39,,,http://www.oum.ox.ac.uk/cgi-bin/strepsip.cgi,,specimens; strepsiptera,,Sir S. S. Saunders,1836-2000,entomology,Zoology,MPLS,specimens,,,,,
mnh-zoology,MNH,Life Collections,Zoology-Other,"224,700",,None,25000,online in the old system,Read Me,http://www.oum.ox.ac.uk/collect/lifecoll2.htm,,specimens,,,unspecified,zoology,Zoology,MPLS,specimens,,,?,,
mnh-zoology-mammals,MNH,Life Collections,Zoology-Mammals,"5,000",,Some,4792,,,http://www.oum.ox.ac.uk/database/zoology/mammals.htm,,specimens; mammals,,,unspecified,"zoology, mammals",Zoology,MPLS,specimens,,N,,,
mnh-zoology-birds,MNH,Life Collections,Zoology-Birds,"17,849",,All,17849,,,http://www.oum.ox.ac.uk/cgi-bin/birds.cgi,,specimens; birds,,,unspecified,"zoology, birds",Zoology,MPLS,specimens,,N,,,
mnh-zoology-darwin,MNH,Life Collections,Zoology-Darwin Collection,51,,All,51,,,http://www.oum.ox.ac.uk/cgi-bin/darwin.cgi,,specimens,,Charles Darwin,1831-1836,"zoology, birds, mammals",Zoology,MPLS,specimens,,,,,
mnh-zoology-extinct,MNH,Life Collections,Zoology-Extinct and Endangered,"2,000",,,2000,,,http://www.oum.ox.ac.uk/database/zoology/extinct.htm,,specimens,,,unspecified,zoology,Zoology,MPLS,specimens,,,,,
mnh-zoology-human-remains,MNH,Life Collections,Zoology-Human Remains,?,,Some,400,,,http://www.oum.ox.ac.uk/database/zoology/human.htm,,human remains,,,unspecified,anthropology,Anthropology & Museum Ethnography; Zoology,"MPLS, Medical Sciences, Social Sciences",specimens,,,,,
mnh-palaeontology,MNH,Earth Collections,Palaeontology-Other,"170,907",,Some,0,,Read Me,http://www.oum.ox.ac.uk/collect/earthcoll2.htm,http://www.oum.ox.ac.uk/collect/earthcoll.htm,fossils,,,unspecified,?,Earth Sciences,MPLS,specimens,,,?,,
mnh-palaeontology-holocene,MNH,Earth Collections,Palaeontology-Holocene,550,,Some,389,,,http://www.oum.ox.ac.uk/database/geology/holocene.htm,http://www.oum.ox.ac.uk/collect/earthcoll.htm,fossils,"Black Sea, Caspian Sea, Aldabra Atoll, Seychelles, Scotland, Spitsberegen",Donald Baden-Powell,8000BC-Present,palaeontology,Earth Sciences,MPLS,specimens,,,,,
mnh-palaeontology-pleistocene,MNH,Earth Collections,Palaeontology-Pleistocene,"9,000",,Some,3663,,,http://www.oum.ox.ac.uk/database/geology/pleicene.htm,http://www.oum.ox.ac.uk/collect/earthcoll.htm,fossils,Oxfordshire,"Sir Joseph Prestwich, Donald F.W. Baden-Powell, Buckland","1.8 million - 10,000 years ago",palaeontology,Earth Sciences,MPLS,specimens,,,,,
mnh-palaeontology-pliocene,MNH,Earth Collections,Palaeontology-Pliocene,713,,All,713,,,http://www.oum.ox.ac.uk/database/geology/pliocene.htm,,fossils,"East Anglia, Cornwall, UK, Belgium, Hungary, New Zealand, Italy
",J. Parker and F. W. Harmer,5.3 - 1.8 million years ago,palaeontology,Earth Sciences,MPLS,specimens,,,,,
